log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_esquinas_base.log,brown_gloves,P4,off,400,,,,,88,0,,,PICK-FAIL
run_gelatin_0806.log,gelatin_box,P1,on,400,298,85,140,102,244,205,140,140,OK
run_gelatin_0806.log,gelatin_box,P2,off,400,,,,,,,,,OK
run_grabacion_d0ffebe_0806.log,brown_gloves,P1,on,400,211,3,134,189,207,181,77,77,OK
run_grabacion_d0ffebe_0806.log,brown_gloves,P2,on,400,162,3,85,238,162,140,55,55,OK
run_grabacion_d0ffebe_0806.log,brown_gloves,P3,on,400,168,1,90,232,165,134,70,70,OK
run_grabacion_d0ffebe_0806.log,brown_gloves,P4,on,400,226,12,134,174,221,193,55,55,OK
run_grabacion_d0ffebe_0806.log,black_gloves,P1,on,400,135,0,68,265,132,104,35,35,OK
run_grabacion_d0ffebe_0806.log,black_gloves,P2,on,400,167,2,98,233,167,135,47,47,OK
run_grabacion_d0ffebe_0806.log,black_gloves,P3,on,400,136,17,75,264,131,101,34,34,OK
run_grabacion_d0ffebe_0806.log,black_gloves,P4,on,400,177,4,105,223,171,135,50,50,OK
run_grabacion_d0ffebe_0806.log,calcetines_nike,P1,on,400,341,77,170,59,267,230,115,115,OK
run_grabacion_d0ffebe_0806.log,calcetines_nike,P2,on,400,231,16,121,169,228,171,66,66,OK
run_grabacion_d0ffebe_0806.log,calcetines_nike,P3,on,400,332,86,160,68,319,289,141,141,OK
run_grabacion_d0ffebe_0806.log,calcetines_nike,P4,on,400,361,108,186,39,250,231,107,107,OK
run_grabacion_d0ffebe_0806.log,wireless_mouse,P1,on,400,324,11,162,76,308,262,110,110,PLACE-FAIL
run_grabacion_d0ffebe_0806.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_grabacion_d0ffebe_0806.log,wireless_mouse,P3,on,400,351,82,175,49,331,287,174,174,OK
run_grabacion_d0ffebe_0806.log,wireless_mouse,P4,on,400,370,123,185,30,290,270,159,159,OK
run_guante35_aristas_calibrado_0807.log,brown_gloves,P1,on,400,23,0,13,377,23,12,,0,PLACE-FAIL
run_guante35_aristas_calibrado_0807.log,brown_gloves,P2,off,400,,,,,,,,,PICK-FAIL
run_guante35_aristas_calibrado_0807.log,brown_gloves,P3,off,400,,,,,114,5,1,0,
run_guante35_clear12_0807.log,brown_gloves,P1,on,400,31,0,12,369,28,20,,0,OK
run_guante35_clear12_0807.log,brown_gloves,P2,off,400,,,,,,,,,PICK-FAIL
run_guante35_clear12_0807.log,brown_gloves,P3,off,400,,,,,104,14,4,0,PLACE-FAIL
run_guante35_clear12_0807.log,brown_gloves,P4,off,400,,,,,,,,,
run_individuales_fallidos_0808.log,usb_c_cable,P2,on,400,199,1,113,201,189,120,17,17,OK
run_individuales_fallidos_0808.log,yellow_trim,P2,on,400,184,31,92,216,182,121,81,81,OK
run_individuales_fallidos_0808.log,cinturon,P2,on,400,227,4,120,173,224,90,6,6,OK
